GameID,Game,Player,PlayerID,Team,Is_Home,Opp
202411040EDM,EDM vs NJD,VIKTOR ARVIDSSON,arvidvi01,EDM,1,NJD
202411040EDM,EDM vs NJD,NATHAN BASTIAN,bastina01,NJD,0,EDM
202411040EDM,EDM vs NJD,EVAN BOUCHARD,bouchev01,EDM,1,NJD
202411040EDM,EDM vs NJD,JESPER BRATT,brattje01,NJD,0,EDM
202411040EDM,EDM vs NJD,CONNOR BROWN,brownco02,EDM,1,NJD
202411040EDM,EDM vs NJD,DRAKE CAGGIULA,caggidr01,EDM,1,NJD
202411040EDM,EDM vs NJD,SEAMUS CASEY,caseyse01,NJD,0,EDM
202411040EDM,EDM vs NJD,GRAEME CLARKE,clarkgr01,NJD,0,EDM
202411040EDM,EDM vs NJD,PAUL COTTER,cottepa01,NJD,0,EDM
202411040EDM,EDM vs NJD,TRAVIS DERMOTT,dermotr01,EDM,1,NJD
202411040EDM,EDM vs NJD,BRENDEN DILLON,dillobr01,NJD,0,EDM
202411040EDM,EDM vs NJD,JUSTIN DOWLING,dowliju01,NJD,0,EDM
202411040EDM,EDM vs NJD,LEON DRAISAITL,draisle01,EDM,1,NJD
202411040EDM,EDM vs NJD,MATTIAS EKHOLM,ekholma01,EDM,1,NJD
202411040EDM,EDM vs NJD,TY EMBERSON,emberty01,EDM,1,NJD
202411040EDM,EDM vs NJD,NOLAN FOOTE,footeno01,NJD,0,EDM
202411040EDM,EDM vs NJD,BRIAN HALONEN,halonbr01,NJD,0,EDM
202411040EDM,EDM vs NJD,JAMES HAMBLIN,hamblja01,EDM,1,NJD
202411040EDM,EDM vs NJD,DOUGIE HAMILTON,hamildo01,NJD,0,EDM
202411040EDM,EDM vs NJD,SANTERI HATAKKA,hataksa01,NJD,0,EDM
202411040EDM,EDM vs NJD,ERIK HAULA,haulaer01,NJD,0,EDM
202411040EDM,EDM vs NJD,ADAM HENRIQUE,henriad01,EDM,1,NJD
202411040EDM,EDM vs NJD,NICO HISCHIER,hischni01,NJD,0,EDM
202411040EDM,EDM vs NJD,JACK HUGHES,hugheja03,NJD,0,EDM
202411040EDM,EDM vs NJD,LUKE HUGHES,hughelu01,NJD,0,EDM
202411040EDM,EDM vs NJD,ZACH HYMAN,hymanza01,EDM,1,NJD
202411040EDM,EDM vs NJD,MATTIAS JANMARK,janmama02,EDM,1,NJD
202411040EDM,EDM vs NJD,EVANDER KANE,kaneev01,EDM,1,NJD
202411040EDM,EDM vs NJD,PHILIP KEMP,kempph01,EDM,1,NJD
202411040EDM,EDM vs NJD,JOHNATHAN KOVACEVIC,kovacjo01,NJD,0,EDM
202411040EDM,EDM vs NJD,BRETT KULAK,kulakbr01,EDM,1,NJD
202411040EDM,EDM vs NJD,SAMUEL LABERGE,labersa01,NJD,0,EDM
202411040EDM,EDM vs NJD,RAPHAEL LAVOIE,lavoira01,EDM,1,NJD
202411040EDM,EDM vs NJD,CURTIS LAZAR,lazarcu01,NJD,0,EDM
202411040EDM,EDM vs NJD,KURTIS MACDERMID,macdeku01,NJD,0,EDM
202411040EDM,EDM vs NJD,JOHN MARINO,marinjo01,NJD,0,EDM
202411040EDM,EDM vs NJD,CONNOR MCDAVID,mcdavco01,EDM,1,NJD
202411040EDM,EDM vs NJD,MICHAEL MCLEOD,mcleomi01,NJD,0,EDM
202411040EDM,EDM vs NJD,TIMO MEIER,meierti01,NJD,0,EDM
202411040EDM,EDM vs NJD,DAWSON MERCER,merceda01,NJD,0,EDM
202411040EDM,EDM vs NJD,DANIIL MISYUL,misyuda01,NJD,0,EDM
202411040EDM,EDM vs NJD,SIMON NEMEC,nemecsi01,NJD,0,EDM
202411040EDM,EDM vs NJD,STEFAN NOESEN,noesest01,NJD,0,EDM
202411040EDM,EDM vs NJD,RYAN NUGENT-HOPKINS,nugenry01,EDM,1,NJD
202411040EDM,EDM vs NJD,DARNELL NURSE,nurseda01,EDM,1,NJD
202411040EDM,EDM vs NJD,ONDREJ PALAT,palaton01,NJD,0,EDM
202411040EDM,EDM vs NJD,COREY PERRY,perryco01,EDM,1,NJD
202411040EDM,EDM vs NJD,BRETT PESCE,pescebr01,NJD,0,EDM
202411040EDM,EDM vs NJD,NOAH PHILP,philpno01,EDM,1,NJD
202411040EDM,EDM vs NJD,VASILY PODKOLZIN,podkova01,EDM,1,NJD
202411040EDM,EDM vs NJD,DEREK RYAN,ryande01,EDM,1,NJD
202411040EDM,EDM vs NJD,JONAS SIEGENTHALER,siegejo01,NJD,0,EDM
202411040EDM,EDM vs NJD,JEFF SKINNER,skinnje01,EDM,1,NJD
202411040EDM,EDM vs NJD,TROY STECHER,stechtr01,EDM,1,NJD
202411040EDM,EDM vs NJD,TOMAS TATAR,tatarto01,NJD,0,EDM
202411040NSH,NSH vs LAK,EGOR AFANASYEV,afanaeg01,NSH,1,LAK
202411040NSH,NSH vs LAK,MIKEY ANDERSON,andermi02,LAK,0,NSH
202411040NSH,NSH vs LAK,JONATHAN MARCHESSAULT,audymjo01,NSH,1,LAK
202411040NSH,NSH vs LAK,KYLE BURROUGHS,burroky01,LAK,0,NSH
202411040NSH,NSH vs LAK,QUINTON BYFIELD,byfiequ01,LAK,0,NSH
202411040NSH,NSH vs LAK,ALEXANDRE CARRIER,carrial01,NSH,1,LAK
202411040NSH,NSH vs LAK,BRANDT CLARKE,clarkbr02,LAK,0,NSH
202411040NSH,NSH vs LAK,PHILLIP DANAULT,danauph01,LAK,0,NSH
202411040NSH,NSH vs LAK,MARC DEL GAIZO,delgama01,NSH,1,LAK
202411040NSH,NSH vs LAK,DREW DOUGHTY,doughdr01,LAK,0,NSH
202411040NSH,NSH vs LAK,JOEL EDMUNDSON,edmunjo01,LAK,0,NSH
202411040NSH,NSH vs LAK,ANDREAS ENGLUND,engluan01,LAK,0,NSH
